Module Name,Course Name,Number of Students,Lecturer Name,Room Name,
Language Typology,Anthropological Linguistics,64,Mary,Online,
Linguistic Anthropology II,Anthropological Linguistics,64,Mary,Online,
Sociolinguistics,Anthropological Linguistics,64,Mary,Online,
Anthropological Methods,Anthropology,0,Mary,null,
Archaeology,Anthropology,56,Mary,Online,
Cultural Anthropology,Anthropology,56,Mary,Online,
Introduction to Anthropology,Anthropology,56,Mary,Online,
Contemporary Art,Art History,0,Mary,null,
Introduction to Art History,Art History,96,Mary,Online,
Modern Art,Art History,96,Mary,Online,
Renaissance Art,Art History,96,Mary,Online,
Computer Vision,Artificial Intelligence,0,John,null,
Deep Learning,Artificial Intelligence,40,John,Online,
Introduction to Artificial Intelligence,Artificial Intelligence,40,John,Online,
Machine Learning II,Artificial Intelligence,40,John,Online,
Cell Biology,Biology,104,David,R28,
Ecology,Biology,0,David,null,
Genetics and Evolution,Biology,104,David,R28,
Introduction to Biology,Biology,104,David,R17,
Biomaterials and Biomechanics,Biomedical Engineering,80,Robert,Online,
Biomedical Signal Processing,Biomedical Engineering,0,Robert,null,
Introduction to Biomedical Engineering,Biomedical Engineering,80,Robert,Online,
Medical Imaging and Devices,Biomedical Engineering,80,Robert,Online,
Financial Accounting,Business Administration,48,Michael,Online,
Human Resource Management,Business Administration,0,Michael,null,
Marketing Management,Business Administration,48,Michael,Online,
Principles of Business Administration,Business Administration,48,Michael,Online,
Biochemical Principles,Chemical Biology,88,David,R12,
Cellular and Molecular Biology,Chemical Biology,88,David,R27,
Genomics and Proteomics,Chemical Biology,0,David,null,
Structural Biology,Chemical Biology,88,David,R11,
Chemical Process Principles,Chemical Engineering,56,Robert,Online,
Chemical Reaction Engineering,Chemical Engineering,0,Robert,null,
Process Control,Chemical Engineering,56,Robert,Online,
Transport Phenomena,Chemical Engineering,56,Robert,Online,
Inorganic Chemistry,Chemistry,72,David,R13,
Introduction to Chemistry,Chemistry,72,David,R13,
Organic Chemistry,Chemistry,72,David,R18,
Physical Chemistry,Chemistry,0,David,null,
Interpersonal Communication,Communications,72,Mary,Online,
Introduction to Communications,Communications,72,Mary,Online,
Mass Media and Society,Communications,72,Mary,Online,
Public Speaking,Communications,0,Mary,null,
Data Structures and Algorithms,Computer Science,80,John,Online,
Database Management Systems,Computer Science,80,John,Online,
Introduction to Computer Science,Computer Science,80,John,Online,
Software Engineering Principles,Computer Science,0,John,null,
Advanced Data Science Techniques II,Conflict Resolution,104,Lisa,Online,
Big Data Analytics,Conflict Resolution,104,Lisa,Online,
Data Visualization,Conflict Resolution,0,Lisa,null,
Machine Learning III,Conflict Resolution,104,Lisa,Online,
Fiction Writing,Creative Writing,72,Mary,Online,
Introduction to Creative Writing,Creative Writing,72,Mary,Online,
Poetry Writing,Creative Writing,72,Mary,Online,
Screenwriting,Creative Writing,0,Mary,null,
Advanced Data Science Techniques I,Data Science,96,John,Online,
Big Data Analytics,Data Science,96,John,Online,
Data Visualization,Data Science,0,John,null,
Machine Learning I,Data Science,96,John,Online,
Acting for Stage and Screen,Drama,0,James,null,
Dramatic Techniques,Drama,96,James,Online,
Playwriting,Drama,96,James,Online,
Theater History,Drama,96,James,Online,
Environmental Geology,Earth Sciences,0,David,null,
Geology,Earth Sciences,56,David,R18,
Introduction to Earth Sciences,Earth Sciences,56,David,R24,
Meteorology,Earth Sciences,56,David,R24,
Circuit Analysis,Electrical Engineering,56,Robert,Online,
Electromagnetic Fields,Electrical Engineering,56,Robert,Online,
Introduction to Electrical Engineering,Electrical Engineering,56,Robert,Online,
Power Systems,Electrical Engineering,0,Robert,null,
Contemporary Literature,English Literature,0,Patricia,null,
English Literature: Early Periods,English Literature,48,Patricia,R21,
English Literature: Romanticism to Modernism,English Literature,48,Patricia,R29,
Shakespearean Studies,English Literature,48,Patricia,R21,
Business Planning,Entrepreneurship,80,Michael,Online,
Introduction to Entrepreneurship,Entrepreneurship,80,Michael,Online,
Marketing Strategies,Entrepreneurship,80,Michael,Online,
Startup Management,Entrepreneurship,0,Michael,null,
Climate Change and Policy,Environmental Science,96,David,R13,
Ecology and Conservation,Environmental Science,0,David,null,
Environmental Science Fundamentals,Environmental Science,96,David,R24,
Environmental Sustainability,Environmental Science,96,David,R24,
Introduction to Foreign Languages,Foreign Languages,64,Patricia,R17,
Language and Culture,Foreign Languages,64,Patricia,R20,
Linguistics,Foreign Languages,64,Patricia,R25,
Translation and Interpretation,Foreign Languages,0,Patricia,null,
Environmental Geography,Geography,64,Danielle,Online,
Geographical Information Systems,Geography,64,Danielle,Online,
Social Geography,Geography,0,Danielle,null,
Urban Geography,Geography,64,Danielle,Online,
Health Informatics,Health Sciences,0,Jennifer,null,
Healthcare Ethics,Health Sciences,72,Jennifer,R14,
Healthcare Management,Health Sciences,72,Jennifer,R25,
Introduction to Health Sciences,Health Sciences,72,Jennifer,R12,
Ancient Civilizations,History,104,Emily,Online,
Introduction to History,History,104,Emily,Online,
Modern History,History,0,Emily,null,
World War History,History,104,Emily,Online,
Introduction to Industrial Engineering,Industrial Engineering,88,Robert,Online,
Production Systems,Industrial Engineering,88,Robert,Online,
Quality Control,Industrial Engineering,88,Robert,Online,
Supply Chain Management,Industrial Engineering,0,Robert,null,
Marine Biodiversity,Marine Biology,48,David,R13,
Marine Biotechnology,Marine Biology,0,David,null,
Marine Conservation,Marine Biology,48,David,R24,
Marine Ecology,Marine Biology,48,David,R15,
Behavioral Economics,Mathematical Economics,0,Linda,null,
Econometrics,Mathematical Economics,104,Linda,R14,
Game Theory,Mathematical Economics,104,Linda,R12,
Mathematical Modeling,Mathematical Economics,104,Linda,R14,
Calculus I,Mathematics,88,Linda,R26,
Calculus II,Mathematics,88,Linda,R11,
Differential Equations,Mathematics,0,Linda,null,
Linear Algebra,Mathematics,88,Linda,R27,
Introduction to Music Theory,Music,40,James,Online,
Music Composition,Music,40,James,Online,
Music History,Music,40,James,Online,
Music Performance,Music,0,James,null,
Counterpoint,Music Theory,56,James,Online,
Jazz Theory and Improvisation,Music Theory,0,James,null,
Music Composition Techniques,Music Theory,56,James,Online,
Orchestration,Music Theory,56,James,Online,
Advanced NLP Strategies,Neuro Linguistic Programming,0,Blake,null,
Belief Change Techniques,Neuro Linguistic Programming,56,Blake,Online,
Language Patterns,Neuro Linguistic Programming,56,Blake,Online,
Neuro Linguistic Programming Fundamentals,Neuro Linguistic Programming,56,Blake,Online,
Cellular Neurobiology,Neurobiology,96,David,R21,
Neuronal Signaling,Neurobiology,96,David,R18,
Neuropharmacology,Neurobiology,0,David,null,
Neuroplasticity,Neurobiology,96,David,R28,
Neurophysiology,Neuroscience,48,David,R21,
Neuroscience Fundamentals,Neuroscience,48,David,R25,
Bioinformatics in Healthcare,Organizational Psychology,0,Blake,null,
Biomaterials and Biomechanics,Organizational Psychology,104,Blake,Online,
Biomechanics in Biomedical Engineering,Organizational Psychology,0,Blake,null,
Biomedical Signal Processing,Organizational Psychology,104,Blake,Online,
Introduction to Biomedical Engineering,Organizational Psychology,104,Blake,Online,
Medical Imaging Techniques,Organizational Psychology,0,Blake,null,
Language Acquisition,Philology,104,Patricia,R26,
Language and Society,Philology,104,Patricia,R25,
Linguistic Anthropology I,Philology,104,Patricia,R29,
Translation Studies,Philology,0,Patricia,null,
Epistemology,Philosophy,88,Mary,Online,
Ethics,Philosophy,88,Mary,Online,
Introduction to Philosophy,Philosophy,88,Mary,Online,
Political Philosophy,Philosophy,0,Mary,null,
Biomechanics,Physical Education,0,Jennifer,null,
Exercise Physiology,Physical Education,112,Jennifer,R17,
Physical Education and Health,Physical Education,112,Jennifer,R21,
Sports Psychology,Physical Education,112,Jennifer,R22,
Classical Mechanics,Physics,64,David,R13,
Electromagnetism,Physics,64,David,R14,
Quantum Mechanics,Physics,0,David,null,
Thermodynamics,Physics,64,David,R24,
Comparative Politics,Political Science,80,Lisa,Online,
International Relations,Political Science,80,Lisa,Online,
Introduction to Political Science,Political Science,80,Lisa,Online,
Political Theory,Political Science,0,Lisa,null,
Abnormal Psychology,Psychology,88,Mary,Online,
Cognitive Psychology,Psychology,0,Mary,null,
Developmental Psychology,Psychology,88,Mary,Online,
Introduction to Psychology,Psychology,88,Mary,Online,
Comparative Public Administration,Public Administration,0,Michael,null,
Policy Evaluation I,Public Administration,80,Michael,Online,
Policy Implementation I,Public Administration,80,Michael,Online,
Public Policy Analysis I,Public Administration,80,Michael,Online,
Comparative Public Policy,Public Policy,0,Lisa,null,
Policy Evaluation II,Public Policy,48,Lisa,Online,
Policy Implementation II,Public Policy,48,Lisa,Online,
Public Policy Analysis II,Public Policy,48,Lisa,Online,
Artificial Intelligence and Robotics,Robotics,0,Robert,null,
Control Systems,Robotics,112,Robert,Online,
Introduction to Robotics,Robotics,112,Robert,Online,
Robot Kinematics and Dynamics,Robotics,112,Robert,Online,
Counseling Techniques,Social Work,0,Lisa,null,
Human Behavior and the Social Environment,Social Work,64,Lisa,Online,
Introduction to Social Work,Social Work,64,Lisa,Online,
Social Welfare Policy,Social Work,64,Lisa,Online,
Introduction to Sociology,Sociology,64,Lisa,Online,
Social Research Methods,Sociology,64,Lisa,Online,
Social Stratification,Sociology,0,Lisa,null,
Sociological Theories,Sociology,64,Lisa,Online,
Agile Software Development II,Software Engineering,0,John,null,
Software Development Fundamentals,Software Engineering,40,John,Online,
Software Testing and Quality Assurance,Software Engineering,40,John,Online,
Web Development,Software Engineering,40,John,Online,
Agile Software Development I,Supply Chain Management,0,Michael,null,
Software Development Fundamentals,Supply Chain Management,88,Michael,Online,
Software Testing and Quality Assurance,Supply Chain Management,88,Michael,Online,
Web Development,Supply Chain Management,88,Michael,Online,
Cosmology,Theoretical Physics,32,David,R15,
Introduction to Theoretical Physics,Theoretical Physics,32,David,R15,
Quantum Field Theory,Theoretical Physics,32,David,R20,
String Theory,Theoretical Physics,0,David,null,
Art Fundamentals,Visual Arts,80,James,Online,
Drawing Techniques,Visual Arts,80,James,Online,
Painting Styles,Visual Arts,80,James,Online,
Sculpture,Visual Arts,0,James,null,
